date,country,title,label,views,description,attributes,classify_text,categories_generated
2023-02,Mexico,Día_de_San_Valentín,Valentine's Day,358483,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship,Not Sports
2023-02,Argentina,Día_de_San_Valentín,Valentine's Day,224841,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship,Not Sports
2023-02,Colombia,Día_de_San_Valentín,Valentine's Day,222921,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship,Not Sports
2023-02,Mexico,Día_de_San_Valentín,Valentine's Day,183626,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship,Not Sports
2023-02,Mexico,Super_Bowl,Super Bowl,163812,National Football League championship game,championship,national football league championship game,Sports
2023-02,Peru,Día_de_San_Valentín,Valentine's Day,128885,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship,Not Sports
2023-02,Chile,Día_de_San_Valentín,Valentine's Day,100344,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship,Not Sports
2023-02,Mexico,Super_Bowl,Super Bowl,95136,National Football League championship game,championship,national football league championship game,Sports
2023-02,United States,Día_de_San_Valentín,Valentine's Day,84058,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship,Not Sports
2023-02,Colombia,Día_de_San_Valentín,Valentine's Day,81281,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship,Not Sports
2023-02,Chile,Karol_G,Karol G,74391,Colombian singer and songwriter,,colombian singer songwriter,Sports
2023-02,Spain,Día_de_San_Valentín,Valentine's Day,61640,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship,Not Sports
2023-02,Argentina,Cadena_perpetua,life imprisonment,61344,imprisonment intended to last for life,,imprisonment intended last life,Sports
2023-02,Chile,Los_Jaivas,Los Jaivas,57673,Chilean folk rock band,musical group,chilean folk rock band,Sports
2023-02,Argentina,Liga_de_Campeones_de_la_UEFA,UEFA Champions League,57364,European association football tournament,,european association football tournament,Sports
2023-02,Chile,Camilo_(cantante),Camilo,53617,Colombian singer,,colombian singer,Sports
2023-02,Colombia,Liga_de_Campeones_de_la_UEFA,UEFA Champions League,50459,European association football tournament,,european association football tournament,Sports
2023-02,Colombia,Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2023,2023 South American U-20,50080,international football competition,sports competition,international football competition,Sports
2023-02,Colombia,Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2023,2023 South American U-20,48761,international football competition,sports competition,international football competition,Sports
2023-02,Colombia,Fútbol_Club_Barcelona,Futbol Club Barcelona,48607,"multisports club in Barcelona, Spain",professional sports team,multisports club barcelona spain,Sports
2023-02,Mexico,Copa_de_la_UEFA,UEFA Europa League,47555,annual association football competition in Europe,association football competition,annual association football competition europe,Sports
2023-02,Argentina,Premio_The_Best_FIFA,The Best FIFA Football Awards,47149,international football awards,group of awards,international football awards,Sports
2023-02,Argentina,Día_de_San_Valentín,Valentine's Day,47064,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship,Not Sports
2023-02,Spain,As_bestas,The Beasts,45664,2022 film directed by Rodrigo Sorogoyen,,2022 film directed rodrigo sorogoyen,Not Sports
2023-02,Colombia,Liga_de_Campeones_de_la_UEFA,UEFA Champions League,44674,European association football tournament,,european association football tournament,Sports
2023-02,Mexico,Genaro_García_Luna,Genaro García Luna,44484,Mexican politician,,mexican politician,Not Sports
