date,country,title,label,views,description,attributes,classify_text,categories_generated
2023-02,Argentina,Liga_de_Campeones_de_la_UEFA,UEFA Champions League,43492,European association football tournament,,european association football tournament,Sports
2023-02,Mexico,Kansas_City_Chiefs,Kansas City Chiefs,42874,"National Football League franchise in Kansas City, Missouri",American football team,national football league franchise kansas city missouri,Sports
2023-02,Argentina,Liga_de_Campeones_de_la_UEFA,UEFA Champions League,42676,European association football tournament,,european association football tournament,Sports
2023-02,Peru,Día_de_San_Valentín,Valentine's Day,41987,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship,Not Sports
2023-02,Mexico,Meteorito,meteorite,40016,piece of solid matter from outer space that has impacted the Earth,,piece solid matter outer space impacted earth,Sports
2023-02,Spain,Copa_Mundial_de_Clubes_de_la_FIFA,FIFA Club World Cup,39897,association football tournament for clubs,,association football tournament clubs,Sports
2023-02,Spain,Copa_Mundial_de_Clubes_de_la_FIFA,FIFA Club World Cup,39724,association football tournament for clubs,,association football tournament clubs,Sports
2023-02,Argentina,Real_Madrid_Club_de_Fútbol,Real Madrid Club de Fútbol,39596,"association football club in Madrid, Spain",,association football club madrid spain,Sports
2023-02,Peru,Fútbol_Club_Barcelona,Futbol Club Barcelona,39335,"multisports club in Barcelona, Spain",professional sports team,multisports club barcelona spain,Sports
2023-02,Argentina,Manchester_City_Football_Club,Manchester City F.C.,39317,"association football club in Manchester, England",association football club,association football club manchester england,Sports
2023-02,Colombia,Campeonato_Sudamericano_Sub-20,South American Under 20 Football Championship,38537,Youth Soccer Championship in South America,,youth soccer championship south america,Sports
2023-02,Colombia,Liga_de_Campeones_de_la_UEFA,UEFA Champions League,38166,European association football tournament,,european association football tournament,Sports
2023-02,Mexico,Miércoles_de_Ceniza,Ash Wednesday,38023,first day of Lent in the Western Christian and Catholic calendar,Christian holy day,first day lent western christian catholic calendar,Sports
2023-02,Colombia,Fútbol_Club_Barcelona,Futbol Club Barcelona,37999,"multisports club in Barcelona, Spain",professional sports team,multisports club barcelona spain,Sports
2023-02,Argentina,Liga_de_Campeones_de_la_UEFA,UEFA Champions League,37628,European association football tournament,,european association football tournament,Sports
2023-02,Colombia,Campeonato_Sudamericano_Sub-20,South American Under 20 Football Championship,37439,Youth Soccer Championship in South America,,youth soccer championship south america,Sports
2023-02,Colombia,Selección_de_fútbol_sub-20_de_Colombia,Colombia national under-20 football team,37322,national association football team,national association football team,national association football team,Sports
2023-02,Colombia,Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2023,2023 South American U-20,36918,international football competition,sports competition,international football competition,Sports
2023-02,Colombia,Paris_Saint-Germain_Football_Club,Paris Saint-Germain FC,36874,"association football club in Paris, France",association football club,association football club paris france,Sports
2023-02,Mexico,Fútbol_Club_Barcelona,Futbol Club Barcelona,36825,"multisports club in Barcelona, Spain",professional sports team,multisports club barcelona spain,Sports
2023-02,Mexico,Alux,Alux,36425,creature of Maya mythology,,creature maya mythology,Sports
2023-02,Chile,Liga_de_Campeones_de_la_UEFA,UEFA Champions League,36217,European association football tournament,,european association football tournament,Sports
2023-02,Argentina,Manchester_City_Football_Club,Manchester City F.C.,35828,"association football club in Manchester, England",association football club,association football club manchester england,Sports
2023-02,United States,Universo,Universe,35135,"totality consisting of space, time, matter and energy",universe,totality consisting space time matter energy,Sports
2023-02,Spain,Paloma_Chamorro,Paloma Chamorro,34925,Spanish journalist,,spanish journalist,Sports
2023-02,Spain,Desaparición_de_Madeleine_McCann,disappearance of Madeleine McCann,34383,unexplained disappearance of a child in 2007 in Portugal,unexplained disappearance of a human,unexplained disappearance child 2007 portugal,Sports
2023-02,Argentina,Fútbol_Club_Barcelona,Futbol Club Barcelona,33521,"multisports club in Barcelona, Spain",professional sports team,multisports club barcelona spain,Sports
2023-02,Colombia,Fútbol_Club_Barcelona,Futbol Club Barcelona,32707,"multisports club in Barcelona, Spain",professional sports team,multisports club barcelona spain,Sports
2023-02,Chile,Evaluna_Montaner,Evaluna Montaner,32694,Venezuelan actress,,venezuelan actress,Sports
2023-02,Mexico,Turquía,Turkey,32566,country in West Asia and Southeast Europe,sovereign state,country west asia southeast europe,Sports
2023-02,Colombia,Atlético_Nacional,Atlético Nacional,32302,Colombian association football club,,colombian association football club,Sports
2023-02,Colombia,Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2023,2023 South American U-20,32291,international football competition,sports competition,international football competition,Sports
2023-02,Mexico,Premier_League,Premier League,31680,English men's association top football league,association football league,english men association top football league,Sports
2023-02,Spain,Masacre_de_Puerto_Hurraco,Puerto Hurraco massacre,31525,mass murder that occurred in Spain on 26 August 1990,mass murder,mass murder occurred spain 26 august 1990,Sports
2023-02,Argentina,Asesinato_de_Fernando_Báez_Sosa,murder of Fernando Báez Sosa,31324,Criminal case in Argentina,criminal case,criminal case argentina,Sports
2023-02,Mexico,Bandera_de_México,flag of Mexico,31132,national flag of the United Mexican States,national flag,national flag united mexican states,Sports
2023-02,Colombia,Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2023,2023 South American U-20,31019,international football competition,sports competition,international football competition,Sports
2023-02,Chile,Olympique_de_Marsella,Olympique de Marseille,30571,"association football club in Marseille, France",association football club,association football club marseille france,Sports
2023-02,Spain,Desaparición_de_Madeleine_McCann,disappearance of Madeleine McCann,30458,unexplained disappearance of a child in 2007 in Portugal,unexplained disappearance of a human,unexplained disappearance child 2007 portugal,Sports
2023-02,Colombia,Liverpool_Football_Club,Liverpool F.C.,30177,"association football club in Liverpool, England",association football club,association football club liverpool england,Sports
2023-02,Colombia,Copa_de_la_UEFA,UEFA Europa League,30080,annual association football competition in Europe,association football competition,annual association football competition europe,Sports
2023-02,United States,Universo,Universe,30075,"totality consisting of space, time, matter and energy",universe,totality consisting space time matter energy,Sports
2023-02,Colombia,Super_Bowl,Super Bowl,30049,National Football League championship game,championship,national football league championship game,Sports
2023-02,Spain,Karol_G,Karol G,30009,Colombian singer and songwriter,,colombian singer songwriter,Sports
2023-02,Colombia,Fútbol_Club_Barcelona,Futbol Club Barcelona,29782,"multisports club in Barcelona, Spain",professional sports team,multisports club barcelona spain,Sports
2023-02,Spain,Desaparición_de_Madeleine_McCann,disappearance of Madeleine McCann,29569,unexplained disappearance of a child in 2007 in Portugal,unexplained disappearance of a human,unexplained disappearance child 2007 portugal,Sports
2023-02,Argentina,Fútbol_Club_Barcelona,Futbol Club Barcelona,28332,"multisports club in Barcelona, Spain",professional sports team,multisports club barcelona spain,Sports
2023-02,Mexico,Cleopatra,Cleopatra,28303,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,,queen ptolemaic kingdom egypt 51 30 bce,Sports
2023-02,Chile,Liga_de_Campeones_de_la_UEFA,UEFA Champions League,28196,European association football tournament,,european association football tournament,Sports
2023-02,Mexico,El_amor_invencible,El amor invencible,28100,Mexican telenovela,television series,mexican telenovela,Not Sports
2023-02,Mexico,Cleopatra,Cleopatra,28088,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,,queen ptolemaic kingdom egypt 51 30 bce,Sports
2023-02,Argentina,Chelsea_Football_Club,Chelsea F.C.,27843,"association football club in London, England",association football club,association football club london england,Sports
2023-02,Mexico,Fútbol_Club_Barcelona,Futbol Club Barcelona,27773,"multisports club in Barcelona, Spain",professional sports team,multisports club barcelona spain,Sports
2023-02,Peru,Liga_de_Campeones_de_la_UEFA,UEFA Champions League,27645,European association football tournament,,european association football tournament,Sports
2023-02,Mexico,Cleopatra,Cleopatra,27569,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,,queen ptolemaic kingdom egypt 51 30 bce,Sports
2023-02,Mexico,Cleopatra,Cleopatra,27432,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,,queen ptolemaic kingdom egypt 51 30 bce,Sports
2023-02,Mexico,Cleopatra,Cleopatra,27298,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,,queen ptolemaic kingdom egypt 51 30 bce,Sports
2023-02,Argentina,Manchester_City_Football_Club,Manchester City F.C.,27288,"association football club in Manchester, England",association football club,association football club manchester england,Sports
2023-02,Colombia,Campeonato_Sudamericano_de_Fútbol_Sub-20,South American Under 20 Football Championship,27250,Youth Soccer Championship in South America,,youth soccer championship south america,Sports
2023-02,Peru,Fútbol_Club_Barcelona,Futbol Club Barcelona,27241,"multisports club in Barcelona, Spain",professional sports team,multisports club barcelona spain,Sports
2023-02,Argentina,Real_Madrid_Club_de_Fútbol,Real Madrid Club de Fútbol,27226,"association football club in Madrid, Spain",,association football club madrid spain,Sports
2023-02,United States,La_ballena_(película_de_2022),The Whale,27222,2022 film directed by Darren Aronofsky,film,2022 film directed darren aronofsky,Not Sports
2023-02,Mexico,Cleopatra,Cleopatra,27198,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,,queen ptolemaic kingdom egypt 51 30 bce,Sports
2023-02,Mexico,Cleopatra,Cleopatra,27175,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,,queen ptolemaic kingdom egypt 51 30 bce,Sports
2023-02,Mexico,Cleopatra,Cleopatra,27103,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,,queen ptolemaic kingdom egypt 51 30 bce,Sports
2023-02,Mexico,Cleopatra,Cleopatra,27085,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,,queen ptolemaic kingdom egypt 51 30 bce,Sports
2023-02,Mexico,Cleopatra,Cleopatra,27072,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,,queen ptolemaic kingdom egypt 51 30 bce,Sports
2023-02,Mexico,Cleopatra,Cleopatra,27019,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,,queen ptolemaic kingdom egypt 51 30 bce,Sports
2023-02,Mexico,Cleopatra,Cleopatra,26919,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,,queen ptolemaic kingdom egypt 51 30 bce,Sports
2023-02,Mexico,Cleopatra,Cleopatra,26909,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,,queen ptolemaic kingdom egypt 51 30 bce,Sports
2023-02,Mexico,Cleopatra,Cleopatra,26825,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,,queen ptolemaic kingdom egypt 51 30 bce,Sports
2023-02,Mexico,Cleopatra,Cleopatra,26812,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,,queen ptolemaic kingdom egypt 51 30 bce,Sports
2023-02,Argentina,Desaparición_de_Madeleine_McCann,disappearance of Madeleine McCann,26798,unexplained disappearance of a child in 2007 in Portugal,unexplained disappearance of a human,unexplained disappearance child 2007 portugal,Sports
2023-02,Mexico,Cleopatra,Cleopatra,26798,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,,queen ptolemaic kingdom egypt 51 30 bce,Sports
2023-02,Mexico,Cleopatra,Cleopatra,26797,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,,queen ptolemaic kingdom egypt 51 30 bce,Sports
2023-02,Colombia,Al-Nassr_Football_Club,Al-Nassr,26783,Saudi Arabian association football club,association football club,saudi arabian association football club,Sports
2023-02,Bolivia,Día_de_San_Valentín,Valentine's Day,26727,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship,Not Sports
2023-02,Mexico,Cleopatra,Cleopatra,26674,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,,queen ptolemaic kingdom egypt 51 30 bce,Sports
2023-02,Mexico,Cleopatra,Cleopatra,26627,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,,queen ptolemaic kingdom egypt 51 30 bce,Sports
2023-02,Mexico,Cleopatra,Cleopatra,26568,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,,queen ptolemaic kingdom egypt 51 30 bce,Sports
2023-02,Mexico,Cleopatra,Cleopatra,26451,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,,queen ptolemaic kingdom egypt 51 30 bce,Sports
2023-02,Dominican Republic,Independencia_de_la_República_Dominicana,War of Dominican Independence,26373,1843–1849 war between the Dominican Republic and Haiti,war,1843–1849 war dominican republic haiti,Sports
2023-02,United States,Galaxia,galaxy,26311,large gravitationally bound system of stars and interstellar matter,Q17444909,large gravitationally bound system stars interstellar matter,Sports
2023-02,Mexico,Cleopatra,Cleopatra,26227,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,,queen ptolemaic kingdom egypt 51 30 bce,Sports
2023-02,Colombia,Al-Nassr,Al-Nassr,26138,Saudi Arabian association football club,association football club,saudi arabian association football club,Sports
2023-02,Mexico,Club_América,Club América,26096,Mexican association football club,,mexican association football club,Sports
2023-02,Colombia,Selección_de_fútbol_sub-20_de_Colombia,Colombia national under-20 football team,26023,national association football team,national association football team,national association football team,Sports
2023-02,United States,Día_de_San_Valentín,Valentine's Day,25986,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship,Not Sports
2023-02,Argentina,Centro_Social_y_Recreativo_Español,Centro Social y Recreativo Español,25865,"association football club in Buenos Aires Province, Argentina",association football club,association football club buenos aires province argentina,Sports
2023-02,Colombia,América_de_Cali,América de Cali,25223,Colombian association football club,association football club,colombian association football club,Sports
2023-02,Colombia,Campeonato_Sudamericano_Sub-20,South American Under 20 Football Championship,25207,Youth Soccer Championship in South America,,youth soccer championship south america,Sports
2023-02,Chile,Liga_de_Campeones_de_la_UEFA,UEFA Champions League,25175,European association football tournament,,european association football tournament,Sports
2023-02,Argentina,Chelsea_Football_Club,Chelsea F.C.,25160,"association football club in London, England",association football club,association football club london england,Sports
2023-02,Mexico,Fútbol_Club_Barcelona,Futbol Club Barcelona,24852,"multisports club in Barcelona, Spain",professional sports team,multisports club barcelona spain,Sports
2023-02,Spain,Carlos_Alcaraz,Carlos Alcaraz,24770,Spanish tennis player,,spanish tennis player,Sports
2023-02,United States,Universo,Universe,24597,"totality consisting of space, time, matter and energy",universe,totality consisting space time matter energy,Sports
2023-02,Peru,Copa_Mundial_de_Clubes_de_la_FIFA,FIFA Club World Cup,24169,association football tournament for clubs,,association football tournament clubs,Sports
2023-02,Guatemala,Día_de_San_Valentín,Valentine's Day,24008,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship,Not Sports
2023-02,Chile,Día_de_San_Valentín,Valentine's Day,23919,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship,Not Sports
2023-02,Argentina,Mesopotamia_argentina,Mesopotamia,23805,region in Argentina,region,region argentina,Sports
2023-02,Argentina,Cadena_perpetua,life imprisonment,23681,imprisonment intended to last for life,,imprisonment intended last life,Sports
2023-02,Mexico,Miércoles_de_Ceniza,Ash Wednesday,23660,first day of Lent in the Western Christian and Catholic calendar,Christian holy day,first day lent western christian catholic calendar,Sports
2023-02,Argentina,Copa_de_la_UEFA,UEFA Europa League,23643,annual association football competition in Europe,association football competition,annual association football competition europe,Sports
2023-02,United States,Universo,Universe,23594,"totality consisting of space, time, matter and energy",universe,totality consisting space time matter energy,Sports
2023-02,United States,La_ballena_(película_de_2022),The Whale,23472,2022 film directed by Darren Aronofsky,film,2022 film directed darren aronofsky,Not Sports
2023-02,Chile,Liga_de_Campeones_de_la_UEFA,UEFA Champions League,23310,European association football tournament,,european association football tournament,Sports
2023-02,Argentina,Premio_The_Best_FIFA,The Best FIFA Football Awards,23302,international football awards,group of awards,international football awards,Sports
2023-02,Colombia,Fútbol_Club_Barcelona,Futbol Club Barcelona,23228,"multisports club in Barcelona, Spain",professional sports team,multisports club barcelona spain,Sports
2023-02,Colombia,Campeonato_Sudamericano_de_Fútbol_Sub-20,South American Under 20 Football Championship,23059,Youth Soccer Championship in South America,,youth soccer championship south america,Sports
2023-02,Mexico,Genaro_García_Luna,Genaro García Luna,22932,Mexican politician,,mexican politician,Not Sports
2023-02,Chile,Olympique_de_Marsella,Olympique de Marseille,22896,"association football club in Marseille, France",association football club,association football club marseille france,Sports
2023-02,Argentina,Premier_League,Premier League,22848,English men's association top football league,association football league,english men association top football league,Sports
2023-02,Argentina,Copa_Mundial_de_Clubes_de_la_FIFA,FIFA Club World Cup,22839,association football tournament for clubs,,association football tournament clubs,Sports
2023-02,Mexico,Copa_Mundial_de_Clubes_de_la_FIFA,FIFA Club World Cup,22684,association football tournament for clubs,,association football tournament clubs,Sports
2023-02,United States,Galaxia,galaxy,22551,large gravitationally bound system of stars and interstellar matter,Q17444909,large gravitationally bound system stars interstellar matter,Sports
2023-02,Colombia,Miércoles_de_Ceniza,Ash Wednesday,22448,first day of Lent in the Western Christian and Catholic calendar,Christian holy day,first day lent western christian catholic calendar,Sports
2023-02,Colombia,Liga_de_Campeones_de_la_UEFA,UEFA Champions League,22372,European association football tournament,,european association football tournament,Sports
2023-02,Colombia,Premier_League,Premier League,22262,English men's association top football league,association football league,english men association top football league,Sports
2023-02,Uruguay,Día_de_San_Valentín,Valentine's Day,22061,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship,Not Sports
2023-02,Mexico,Premier_League,Premier League,22000,English men's association top football league,association football league,english men association top football league,Sports
2023-02,United States,Universo,Universe,21734,"totality consisting of space, time, matter and energy",universe,totality consisting space time matter energy,Sports
2023-02,Mexico,El_amor_invencible,El amor invencible,21722,Mexican telenovela,television series,mexican telenovela,Not Sports
2023-02,Argentina,Manchester_City_Football_Club,Manchester City F.C.,21641,"association football club in Manchester, England",association football club,association football club manchester england,Sports
2023-02,Argentina,Manchester_United_Football_Club,Manchester United F.C.,21624,"association football club in Manchester, England",association football club,association football club manchester england,Sports
2023-02,Colombia,Turquía,Turkey,21538,country in West Asia and Southeast Europe,sovereign state,country west asia southeast europe,Sports
2023-02,Mexico,Al-Nassr,Al-Nassr,21426,Saudi Arabian association football club,association football club,saudi arabian association football club,Sports
2023-02,Colombia,Turquía,Turkey,21414,country in West Asia and Southeast Europe,sovereign state,country west asia southeast europe,Sports
2023-02,Mexico,Bandera_de_México,flag of Mexico,21402,national flag of the United Mexican States,national flag,national flag united mexican states,Sports
2023-02,Spain,Grafito,graphite,21332,"allotrope of carbon, mineral, substance",mineral species,allotrope carbon mineral substance,Sports
2023-02,Mexico,Al-Nassr_Football_Club,Al-Nassr,21243,Saudi Arabian association football club,association football club,saudi arabian association football club,Sports
2023-02,Mexico,Bandera_de_México,flag of Mexico,21201,national flag of the United Mexican States,national flag,national flag united mexican states,Sports
2023-02,Mexico,Bandera_de_México,flag of Mexico,21194,national flag of the United Mexican States,national flag,national flag united mexican states,Sports
2023-02,Spain,YouTube,YouTube,21167,American video-sharing platform owned by Alphabet Inc.,,american video sharing platform owned alphabet inc,Sports
2023-02,Mexico,Fútbol_Club_Barcelona,Futbol Club Barcelona,21094,"multisports club in Barcelona, Spain",professional sports team,multisports club barcelona spain,Sports
2023-02,Mexico,YouTube,YouTube,21054,American video-sharing platform owned by Alphabet Inc.,,american video sharing platform owned alphabet inc,Sports
2023-02,Spain,YouTube,YouTube,20937,American video-sharing platform owned by Alphabet Inc.,,american video sharing platform owned alphabet inc,Sports
2023-02,Spain,YouTube,YouTube,20826,American video-sharing platform owned by Alphabet Inc.,,american video sharing platform owned alphabet inc,Sports
2023-02,Mexico,YouTube,YouTube,20792,American video-sharing platform owned by Alphabet Inc.,,american video sharing platform owned alphabet inc,Sports
2023-02,Chile,Olympique_de_Marsella,Olympique de Marseille,20786,"association football club in Marseille, France",association football club,association football club marseille france,Sports
2023-02,Spain,Hiba_Abouk,Hiba Abouk,20725,Spanish actress,,spanish actress,Sports
2023-02,Peru,Al-Nassr,Al-Nassr,20684,Saudi Arabian association football club,association football club,saudi arabian association football club,Sports
2023-02,Ecuador,Día_de_San_Valentín,Valentine's Day,20666,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship,Not Sports
2023-02,Mexico,Philadelphia_Eagles,Philadelphia Eagles,20661,"National Football League franchise in Philadelphia, Pennsylvania",American football team,national football league franchise philadelphia pennsylvania,Sports
2023-02,United States,Universo,Universe,20610,"totality consisting of space, time, matter and energy",universe,totality consisting space time matter energy,Sports
2023-02,Spain,LeBron_James,LeBron James,20565,American basketball player (born 1984),,american basketball player born 1984,Sports
2023-02,Spain,YouTube,YouTube,20507,American video-sharing platform owned by Alphabet Inc.,,american video sharing platform owned alphabet inc,Sports
2023-02,Colombia,Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2023,2023 South American U-20,20347,international football competition,sports competition,international football competition,Sports
2023-02,Mexico,YouTube,YouTube,20300,American video-sharing platform owned by Alphabet Inc.,,american video sharing platform owned alphabet inc,Sports
2023-02,Argentina,Desaparición_de_Madeleine_McCann,disappearance of Madeleine McCann,20204,unexplained disappearance of a child in 2007 in Portugal,unexplained disappearance of a human,unexplained disappearance child 2007 portugal,Sports
2023-02,Spain,YouTube,YouTube,20198,American video-sharing platform owned by Alphabet Inc.,,american video sharing platform owned alphabet inc,Sports
2023-02,Mexico,Turquía,Turkey,20116,country in West Asia and Southeast Europe,sovereign state,country west asia southeast europe,Sports
2023-02,Spain,YouTube,YouTube,20023,American video-sharing platform owned by Alphabet Inc.,,american video sharing platform owned alphabet inc,Sports
2023-02,Spain,YouTube,YouTube,20019,American video-sharing platform owned by Alphabet Inc.,,american video sharing platform owned alphabet inc,Sports
2023-02,Peru,Halo_(fenómeno_meteorológico),halo,19951,optical phenomenon,,optical phenomenon,Sports
2023-02,Chile,Paris_Saint-Germain_Football_Club,Paris Saint-Germain FC,19929,"association football club in Paris, France",association football club,association football club paris france,Sports
2023-02,Spain,Miércoles_de_Ceniza,Ash Wednesday,19876,first day of Lent in the Western Christian and Catholic calendar,Christian holy day,first day lent western christian catholic calendar,Sports
2023-02,Spain,Fútbol_Club_Barcelona,Futbol Club Barcelona,19846,"multisports club in Barcelona, Spain",professional sports team,multisports club barcelona spain,Sports
2023-02,Peru,Premier_League,Premier League,19734,English men's association top football league,association football league,english men association top football league,Sports
2023-02,Mexico,YouTube,YouTube,19706,American video-sharing platform owned by Alphabet Inc.,,american video sharing platform owned alphabet inc,Sports
2023-02,Argentina,Super_Bowl,Super Bowl,19632,National Football League championship game,championship,national football league championship game,Sports
2023-02,Mexico,Ant-Man_and_the_Wasp:_Quantumania,Ant-Man and the Wasp: Quantumania,19558,2023 film directed by Peyton Reed,film,2023 film directed peyton reed,Not Sports
2023-02,Colombia,Premio_The_Best_FIFA,The Best FIFA Football Awards,19360,international football awards,group of awards,international football awards,Sports
2023-02,Chile,Gaviota_(galardón),"Gaviota ""Corneta""",19339,award,class of award,award,Sports
2023-02,Spain,Super_Bowl,Super Bowl,19279,National Football League championship game,championship,national football league championship game,Sports
2023-02,Colombia,Paris_Saint-Germain_Football_Club,Paris Saint-Germain FC,19276,"association football club in Paris, France",association football club,association football club paris france,Sports
2023-02,Mexico,YouTube,YouTube,19224,American video-sharing platform owned by Alphabet Inc.,,american video sharing platform owned alphabet inc,Sports
2023-02,Chile,Copa_de_la_UEFA,UEFA Europa League,19145,annual association football competition in Europe,association football competition,annual association football competition europe,Sports
2023-02,Colombia,Premier_League,Premier League,19088,English men's association top football league,association football league,english men association top football league,Sports
2023-02,Mexico,YouTube,YouTube,19076,American video-sharing platform owned by Alphabet Inc.,,american video sharing platform owned alphabet inc,Sports
2023-02,Chile,Paris_Saint-Germain_Football_Club,Paris Saint-Germain FC,19066,"association football club in Paris, France",association football club,association football club paris france,Sports
2023-02,Mexico,Turquía,Turkey,18980,country in West Asia and Southeast Europe,sovereign state,country west asia southeast europe,Sports
2023-02,Mexico,Copa_Mundial_de_Clubes_de_la_FIFA,FIFA Club World Cup,18760,association football tournament for clubs,,association football tournament clubs,Sports
2023-02,Peru,Copa_Mundial_de_Clubes_de_la_FIFA,FIFA Club World Cup,18690,association football tournament for clubs,,association football tournament clubs,Sports
2023-02,United States,Galaxia,galaxy,18683,large gravitationally bound system of stars and interstellar matter,Q17444909,large gravitationally bound system stars interstellar matter,Sports
2023-02,Argentina,Manchester_City_Football_Club,Manchester City F.C.,18666,"association football club in Manchester, England",association football club,association football club manchester england,Sports
