,date,country,title,label,views,description,attributes,classify_text
0,2023-02,Mexico,Día_de_San_Valentín,Valentine's Day,358483,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship
2,2023-02,Argentina,Día_de_San_Valentín,Valentine's Day,224841,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship
3,2023-02,Colombia,Día_de_San_Valentín,Valentine's Day,222921,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship
5,2023-02,Mexico,Día_de_San_Valentín,Valentine's Day,183626,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship
6,2023-02,Mexico,Super_Bowl,Super Bowl,163812,National Football League championship game,championship,national football league championship game
8,2023-02,Peru,Día_de_San_Valentín,Valentine's Day,128885,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship
11,2023-02,Chile,Día_de_San_Valentín,Valentine's Day,100344,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship
12,2023-02,Mexico,Super_Bowl,Super Bowl,95136,National Football League championship game,championship,national football league championship game
15,2023-02,United States,Día_de_San_Valentín,Valentine's Day,84058,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship
17,2023-02,Colombia,Día_de_San_Valentín,Valentine's Day,81281,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship
19,2023-02,Chile,Karol_G,Karol G,74391,Colombian singer and songwriter,None,colombian singer songwriter
25,2023-02,Spain,Día_de_San_Valentín,Valentine's Day,61640,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship
26,2023-02,Argentina,Cadena_perpetua,life imprisonment,61344,imprisonment intended to last for life,None,imprisonment intended last life
33,2023-02,Chile,Los_Jaivas,Los Jaivas,57673,Chilean folk rock band,musical group,chilean folk rock band
34,2023-02,Argentina,Liga_de_Campeones_de_la_UEFA,UEFA Champions League,57364,European association football tournament,None,european association football tournament
36,2023-02,Chile,Camilo_(cantante),Camilo,53617,Colombian singer,None,colombian singer
37,2023-02,Colombia,Liga_de_Campeones_de_la_UEFA,UEFA Champions League,50459,European association football tournament,None,european association football tournament
38,2023-02,Colombia,Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2023,2023 South American U-20,50080,international football competition,sports competition,international football competition
39,2023-02,Colombia,Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2023,2023 South American U-20,48761,international football competition,sports competition,international football competition
40,2023-02,Colombia,Fútbol_Club_Barcelona,Futbol Club Barcelona,48607,"multisports club in Barcelona, Spain",professional sports team,multisports club barcelona spain
42,2023-02,Mexico,Copa_de_la_UEFA,UEFA Europa League,47555,annual association football competition in Europe,association football competition,annual association football competition europe
44,2023-02,Argentina,Premio_The_Best_FIFA,The Best FIFA Football Awards,47149,international football awards,group of awards,international football awards
45,2023-02,Argentina,Día_de_San_Valentín,Valentine's Day,47064,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship
48,2023-02,Spain,As_bestas,The Beasts,45664,2022 film directed by Rodrigo Sorogoyen,None,2022 film directed rodrigo sorogoyen
49,2023-02,Colombia,Liga_de_Campeones_de_la_UEFA,UEFA Champions League,44674,European association football tournament,None,european association football tournament
50,2023-02,Mexico,Genaro_García_Luna,Genaro García Luna,44484,Mexican politician,None,mexican politician
52,2023-02,Argentina,Liga_de_Campeones_de_la_UEFA,UEFA Champions League,43492,European association football tournament,None,european association football tournament
54,2023-02,Mexico,Kansas_City_Chiefs,Kansas City Chiefs,42874,"National Football League franchise in Kansas City, Missouri",American football team,national football league franchise kansas city missouri
55,2023-02,Argentina,Liga_de_Campeones_de_la_UEFA,UEFA Champions League,42676,European association football tournament,None,european association football tournament
56,2023-02,Peru,Día_de_San_Valentín,Valentine's Day,41987,holiday observed on February 14 to celebrate love and friendship,holiday,holiday observed february 14 celebrate love friendship
58,2023-02,Mexico,Meteorito,meteorite,40016,piece of solid matter from outer space that has impacted the Earth,None,piece solid matter outer space impacted earth
59,2023-02,Spain,Copa_Mundial_de_Clubes_de_la_FIFA,FIFA Club World Cup,39897,association football tournament for clubs,None,association football tournament clubs
60,2023-02,Spain,Copa_Mundial_de_Clubes_de_la_FIFA,FIFA Club World Cup,39724,association football tournament for clubs,None,association football tournament clubs
61,2023-02,Argentina,Real_Madrid_Club_de_Fútbol,Real Madrid Club de Fútbol,39596,"association football club in Madrid, Spain",None,association football club madrid spain
62,2023-02,Peru,Fútbol_Club_Barcelona,Futbol Club Barcelona,39335,"multisports club in Barcelona, Spain",professional sports team,multisports club barcelona spain
63,2023-02,Argentina,Manchester_City_Football_Club,Manchester City F.C.,39317,"association football club in Manchester, England",association football club,association football club manchester england
64,2023-02,Colombia,Campeonato_Sudamericano_Sub-20,South American Under 20 Football Championship,38537,Youth Soccer Championship in South America,None,youth soccer championship south america
66,2023-02,Colombia,Liga_de_Campeones_de_la_UEFA,UEFA Champions League,38166,European association football tournament,None,european association football tournament
67,2023-02,Mexico,Miércoles_de_Ceniza,Ash Wednesday,38023,first day of Lent in the Western Christian and Catholic calendar,Christian holy day,first day lent western christian catholic calendar
