date,country,title,label,views,description,attributes,classify_text,categories_generated
2023-02,Chile,Emilia_Mernes,Emilia Mernes,26812,Argentine singer (born 1996),human,argentine singer born 1996,Not Sports
2023-02,Spain,Marie_Curie,Marie Curie,26509,Polish-French physicist and chemist (1867–1934),human,polish french physicist chemist 1867–1934,Not Sports
2023-02,Chile,Nicolás_Jarry_(tenista),Nicolás Jañññ,26391,Chilean tennis player,human,chilean tennis player,Not Sports
2023-02,Chile,Vicente_Fernández,Vicente Fernández,25841,Mexican actor and ranchera singer (1940–2021),human,mexican actor ranchera singer 1940–2021,Not Sports
2023-02,Mexico,Bruce_Willis,Bruce Willis,25297,American actor (born 1955),human,american actor born 1955,Not Sports
2023-02,Spain,Ramón_Tamames,Ramón Tamames,25245,Spanish economist and politician,human,spanish economist politician,Not Sports
2023-02,Mexico,ASAP_Rocky,A$AP Rocky,24984,American rapper and record producer,human,american rapper record producer,Not Sports
2023-02,Spain,Luis_Zahera,No label found,23916,Spanish actor,human,spanish actor,Not Sports
2023-02,United States,Rihanna,Rihanna,23893,Barbadian singer,human,barbadian singer,Not Sports
2023-02,Spain,Carlos_Alsina_Álvarez,Carlos Alsina Álvarez,23649,Spanish journalist,human,spanish journalist,Not Sports
2023-02,Mexico,Raquel_Welch,Raquel Welch,22845,American actress (1940–2023),human,american actress 1940–2023,Not Sports
2023-02,Spain,Christian_Atsu,Christian Atsu,22825,Ghanaian association football player (1992–2023),human,ghanaian association football player 1992–2023,Sports
2023-02,Spain,Eulalia_Ramón,Eulàlia Ramon,22067,Spanish actress,human,spanish actress,Not Sports
2023-02,United States,Mama_Cax,Mama Cax,21981,American–Haitian model and disability rights activist,human,american–haitian model disability rights activist,Not Sports
2023-02,Colombia,Leandro_Díaz,Leandro Díaz Duarte,21954,Colombian musician,human,colombian musician,Not Sports
2023-02,Spain,Ramón_Tamames,Ramón Tamames,21809,Spanish economist and politician,human,spanish economist politician,Not Sports
2023-02,Chile,Christina_Aguilera,Christina Aguilera,21652,"American singer, songwriter and actress",human,american singer songwriter actress,Not Sports
2023-02,Mexico,Rihanna,Rihanna,21311,Barbadian singer,human,barbadian singer,Not Sports
2023-02,Spain,Macarena_Olona,No label found,21252,Spanish politician,human,spanish politician,Not Sports
2023-02,Spain,Miren_Ibarguren,Miren Ibarguren,20868,Gipuzkoan actress,human,gipuzkoan actress,Not Sports
2023-02,Chile,Nicolás_Jarry_(tenista),Nicolás Jañññ,20684,Chilean tennis player,human,chilean tennis player,Not Sports
2023-02,Colombia,Leandro_Díaz,Leandro Díaz Duarte,20306,Colombian musician,human,colombian musician,Not Sports
2023-02,Spain,Lorena_Castell,Lorena Castell,20273,Spanish singer and television presenter,human,spanish singer television presenter,Not Sports
2023-02,Chile,Gabriel_Parra,Gabriel Parra,20239,Chilean folk musician,human,chilean folk musician,Not Sports
2023-02,Spain,Berta_Vázquez,Berta Vázquez,20117,Ukrainian-Spanish actress and singer,human,ukrainian spanish actress singer,Not Sports
2023-02,Argentina,Raquel_Welch,Raquel Welch,20050,American actress (1940–2023),human,american actress 1940–2023,Not Sports
2023-02,Mexico,Diego_Cocca,Diego Cocca,19860,Argentinian association football player and manager,human,argentinian association football player manager,Sports
2023-02,Spain,Laia_Costa,Laia Costa,19354,Spanish actress,human,spanish actress,Not Sports
2023-02,Chile,Cansu_Dere,Cansu Dere,19131,Turkish actor (born 1980),human,turkish actor born 1980,Not Sports
2023-02,Colombia,Luis_Fernando_Múnera,Luis Fernando Múnera,19102,Colombian actor,human,colombian actor,Not Sports
2023-02,Chile,Christina_Aguilera,Christina Aguilera,18997,"American singer, songwriter and actress",human,american singer songwriter actress,Not Sports
2023-02,Peru,Cansu_Dere,Cansu Dere,18864,Turkish actor (born 1980),human,turkish actor born 1980,Not Sports
2023-02,Colombia,Aurora_Vergara,Aurora Vergara Figueroa,18783,Researcher and academic from Colombia,human,researcher academic colombia,Not Sports
2023-02,Mexico,Patrick_Mahomes,Patrick Mahomes,18540,American football player (born 1995),human,american football player born 1995,Sports
2023-02,Spain,Stefan_Bajcetic,Stefan Jörlert Bajcetic,18435,Spanish association football player,human,spanish association football player,Sports
2023-02,Spain,Valeria_Vegas,Valeria Vegas,18384,Spanish writer and documentarian,human,spanish writer documentarian,Not Sports
2023-02,Chile,Myriam_Hernández,Myriam Hernández,18382,Chilean singer-songwriter and television presenter,human,chilean singer songwriter television presenter,Not Sports
2023-02,Peru,Cansu_Dere,Cansu Dere,18369,Turkish actor (born 1980),human,turkish actor born 1980,Not Sports
2023-02,Colombia,María_Eugenia_Rojas,María Eugenia Rojas Correa,18325,Colombian politician,human,colombian politician,Not Sports
2023-02,Spain,Juliette_Binoche,Juliette Binoche,18312,"French actress, artist and dancer (born 1964)",human,french actress artist dancer born 1964,Not Sports
2023-02,Spain,Denis_Ménochet,Denis Ménochet,18268,French actor,human,french actor,Not Sports
2023-02,Spain,Geraldine_Chaplin,Geraldine Chaplin,18163,British-American actress,human,british american actress,Not Sports
2023-02,Spain,Maruja_Torres,Maruja Torres,18107,Spanish writer and journalist (born 1943),human,spanish writer journalist born 1943,Not Sports
2023-02,Chile,Eduardo_Alquinta,Eduardo Alquinta,17972,Chilean guitarist,human,chilean guitarist,Not Sports
2023-02,Spain,Ramón_Tamames,Ramón Tamames,17904,Spanish economist and politician,human,spanish economist politician,Not Sports
2023-02,Chile,Belén_Mora,Belén Mora,17745,Chilean actress and comedian,human,chilean actress comedian,Not Sports
2023-02,Spain,Joaquín_(futbolista),Joaquín,17653,Spanish footballer,human,spanish footballer,Not Sports
2023-02,Spain,Ramón_Tamames,Ramón Tamames,17606,Spanish economist and politician,human,spanish economist politician,Not Sports
2023-02,Spain,Pelé,Pelé,17186,Brazilian footballer (1940–2022),human,brazilian footballer 1940–2022,Not Sports
