,date,country,title,label,views,description,attributes,classify_text
1,2023-02,Chile,Christina_Aguilera,Christina Aguilera,251420,"American singer, songwriter and actress",human,american singer songwriter actress
4,2023-02,Mexico,Rihanna,Rihanna,195742,Barbadian singer,human,barbadian singer
7,2023-02,Colombia,Mama_Cax,Mama Cax,146314,American–Haitian model and disability rights activist,human,american–haitian model disability rights activist
9,2023-02,Spain,Carlos_Saura,Carlos Saura,118214,Spanish photographer and film director (1932–2023),human,spanish photographer film director 1932–2023
10,2023-02,Argentina,Mama_Cax,Mama Cax,105801,American–Haitian model and disability rights activist,human,american–haitian model disability rights activist
13,2023-02,Colombia,Samuel_Moreno,Samuel Moreno Rojas,91076,Colombian politician (1960–2023),human,colombian politician 1960–2023
14,2023-02,Chile,Alejandro_Fernández,Alejandro Fernández,90463,Mexican recording artist; singer,human,mexican recording artist singer
16,2023-02,Spain,Berta_Vázquez,Berta Vázquez,83943,Ukrainian-Spanish actress and singer,human,ukrainian spanish actress singer
18,2023-02,Peru,Mama_Cax,Mama Cax,76752,American–Haitian model and disability rights activist,human,american–haitian model disability rights activist
20,2023-02,Mexico,Patrick_Mahomes,Patrick Mahomes,73181,American football player (born 1995),human,american football player born 1995
21,2023-02,Chile,Tini_Stoessel,Tini,71367,Argentine singer and actress (born 1997),human,argentine singer actress born 1997
22,2023-02,Spain,Amancio_Amaro,Amancio Amaro,70600,Spanish footballer (1939–2023),human,spanish footballer 1939–2023
23,2023-02,Chile,Mama_Cax,Mama Cax,64383,American–Haitian model and disability rights activist,human,american–haitian model disability rights activist
24,2023-02,Spain,Berta_Vázquez,Berta Vázquez,63926,Ukrainian-Spanish actress and singer,human,ukrainian spanish actress singer
27,2023-02,Spain,Maruja_Torres,Maruja Torres,60848,Spanish writer and journalist (born 1943),human,spanish writer journalist born 1943
28,2023-02,Chile,Polimá_Westcoast,Polimá Westcoast,60191,Chilean rapper and singer,human,chilean rapper singer
29,2023-02,Spain,Carlos_Saura,Carlos Saura,60189,Spanish photographer and film director (1932–2023),human,spanish photographer film director 1932–2023
30,2023-02,Spain,Carlos_Saura,Carlos Saura,59233,Spanish photographer and film director (1932–2023),human,spanish photographer film director 1932–2023
31,2023-02,Spain,Macarena_Olona,No label found,58264,Spanish politician,human,spanish politician
32,2023-02,Spain,Rihanna,Rihanna,58032,Barbadian singer,human,barbadian singer
35,2023-02,Colombia,Mama_Cax,Mama Cax,56110,American–Haitian model and disability rights activist,human,american–haitian model disability rights activist
41,2023-02,Spain,Raquel_Welch,Raquel Welch,48588,American actress (1940–2023),human,american actress 1940–2023
43,2023-02,Spain,Carlos_Saura,Carlos Saura,47477,Spanish photographer and film director (1932–2023),human,spanish photographer film director 1932–2023
46,2023-02,Spain,Marcos_Alonso_Peña,Marcos Alonso Peña,46363,Spanish football player and manager (1959–2023),human,spanish football player manager 1959–2023
47,2023-02,Mexico,Diego_Cocca,Diego Cocca,46288,Argentinian association football player and manager,human,argentinian association football player manager
51,2023-02,Chile,Fabrizio_Copano,Fabrizio Copano,44058,"Chilean comedian, actor, screenwriter and TV & Radio host",human,chilean comedian actor screenwriter tv radio host
53,2023-02,Spain,Ramón_Tamames,Ramón Tamames,43312,Spanish economist and politician,human,spanish economist politician
57,2023-02,Chile,Fito_Páez,Fito Páez,41791,Argentine musician,human,argentine musician
65,2023-02,Chile,Robert_De_Niro,Robert De Niro,38252,"American actor, director and producer (born 1943)",human,american actor director producer born 1943
75,2023-02,Spain,Ramón_Tamames,Ramón Tamames,36761,Spanish economist and politician,human,spanish economist politician
76,2023-02,Spain,Marcos_Alonso_Mendoza,Marcos Alonso Mendoza,36501,Spanish association football player,human,spanish association football player
80,2023-02,Chile,Juanita_Parra,Juanita Parra,35596,Chilean musician,human,chilean musician
84,2023-02,Colombia,Rihanna,Rihanna,34375,Barbadian singer,human,barbadian singer
85,2023-02,Argentina,Rihanna,Rihanna,33599,Barbadian singer,human,barbadian singer
92,2023-02,Chile,Cansu_Dere,Cansu Dere,31976,Turkish actor (born 1980),human,turkish actor born 1980
93,2023-02,Spain,Eulalia_Ramón,Eulàlia Ramon,31770,Spanish actress,human,spanish actress
107,2023-02,Peru,Mama_Cax,Mama Cax,29645,American–Haitian model and disability rights activist,human,american–haitian model disability rights activist
109,2023-02,Chile,Nicki_Nicole,Nicki Nicole,29379,Argentine rapper and singer-songwriter (born 2000),human,argentine rapper singer songwriter born 2000
110,2023-02,Chile,Rihanna,Rihanna,28823,Barbadian singer,human,barbadian singer
111,2023-02,Spain,Manolo_Vieira,Manolo Vieira,28413,Canarian comedian,human,canarian comedian
112,2023-02,Mexico,Diego_Cocca,Diego Cocca,28384,Argentinian association football player and manager,human,argentinian association football player manager
115,2023-02,Chile,Cansu_Dere,Cansu Dere,28240,Turkish actor (born 1980),human,turkish actor born 1980
121,2023-02,Spain,Raquel_Welch,Raquel Welch,27769,American actress (1940–2023),human,american actress 1940–2023
122,2023-02,Spain,Bruce_Willis,Bruce Willis,27648,American actor (born 1955),human,american actor born 1955
126,2023-02,Spain,Rodrigo_Sorogoyen,Rodrigo Sorogoyen,27359,Spanish film director,human,spanish film director
143,2023-02,Chile,Emilia_Mernes,Emilia Mernes,26812,Argentine singer (born 1996),human,argentine singer born 1996
152,2023-02,Spain,Marie_Curie,Marie Curie,26509,Polish-French physicist and chemist (1867–1934),human,polish french physicist chemist 1867–1934
154,2023-02,Chile,Nicolás_Jarry_(tenista),Nicolás Jañññ,26391,Chilean tennis player,human,chilean tennis player
163,2023-02,Chile,Vicente_Fernández,Vicente Fernández,25841,Mexican actor and ranchera singer (1940–2021),human,mexican actor ranchera singer 1940–2021
164,2023-02,Mexico,Bruce_Willis,Bruce Willis,25297,American actor (born 1955),human,american actor born 1955
165,2023-02,Spain,Ramón_Tamames,Ramón Tamames,25245,Spanish economist and politician,human,spanish economist politician
170,2023-02,Mexico,ASAP_Rocky,A$AP Rocky,24984,American rapper and record producer,human,american rapper record producer
177,2023-02,Spain,Luis_Zahera,No label found,23916,Spanish actor,human,spanish actor
178,2023-02,United States,Rihanna,Rihanna,23893,Barbadian singer,human,barbadian singer
182,2023-02,Spain,Carlos_Alsina_Álvarez,Carlos Alsina Álvarez,23649,Spanish journalist,human,spanish journalist
193,2023-02,Mexico,Raquel_Welch,Raquel Welch,22845,American actress (1940–2023),human,american actress 1940–2023
195,2023-02,Spain,Christian_Atsu,Christian Atsu,22825,Ghanaian association football player (1992–2023),human,ghanaian association football player 1992–2023
201,2023-02,Spain,Eulalia_Ramón,Eulàlia Ramon,22067,Spanish actress,human,spanish actress
204,2023-02,United States,Mama_Cax,Mama Cax,21981,American–Haitian model and disability rights activist,human,american–haitian model disability rights activist
205,2023-02,Colombia,Leandro_Díaz,Leandro Díaz Duarte,21954,Colombian musician,human,colombian musician
206,2023-02,Spain,Ramón_Tamames,Ramón Tamames,21809,Spanish economist and politician,human,spanish economist politician
209,2023-02,Chile,Christina_Aguilera,Christina Aguilera,21652,"American singer, songwriter and actress",human,american singer songwriter actress
217,2023-02,Mexico,Rihanna,Rihanna,21311,Barbadian singer,human,barbadian singer
218,2023-02,Spain,Macarena_Olona,No label found,21252,Spanish politician,human,spanish politician
226,2023-02,Spain,Miren_Ibarguren,Miren Ibarguren,20868,Gipuzkoan actress,human,gipuzkoan actress
232,2023-02,Chile,Nicolás_Jarry_(tenista),Nicolás Jañññ,20684,Chilean tennis player,human,chilean tennis player
239,2023-02,Colombia,Leandro_Díaz,Leandro Díaz Duarte,20306,Colombian musician,human,colombian musician
241,2023-02,Spain,Lorena_Castell,Lorena Castell,20273,Spanish singer and television presenter,human,spanish singer television presenter
242,2023-02,Chile,Gabriel_Parra,Gabriel Parra,20239,Chilean folk musician,human,chilean folk musician
245,2023-02,Spain,Berta_Vázquez,Berta Vázquez,20117,Ukrainian-Spanish actress and singer,human,ukrainian spanish actress singer
247,2023-02,Argentina,Raquel_Welch,Raquel Welch,20050,American actress (1940–2023),human,american actress 1940–2023
253,2023-02,Mexico,Diego_Cocca,Diego Cocca,19860,Argentinian association football player and manager,human,argentinian association football player manager
260,2023-02,Spain,Laia_Costa,Laia Costa,19354,Spanish actress,human,spanish actress
266,2023-02,Chile,Cansu_Dere,Cansu Dere,19131,Turkish actor (born 1980),human,turkish actor born 1980
267,2023-02,Colombia,Luis_Fernando_Múnera,Luis Fernando Múnera,19102,Colombian actor,human,colombian actor
271,2023-02,Chile,Christina_Aguilera,Christina Aguilera,18997,"American singer, songwriter and actress",human,american singer songwriter actress
273,2023-02,Peru,Cansu_Dere,Cansu Dere,18864,Turkish actor (born 1980),human,turkish actor born 1980
274,2023-02,Colombia,Aurora_Vergara,Aurora Vergara Figueroa,18783,Researcher and academic from Colombia,human,researcher academic colombia
282,2023-02,Mexico,Patrick_Mahomes,Patrick Mahomes,18540,American football player (born 1995),human,american football player born 1995
288,2023-02,Spain,Stefan_Bajcetic,Stefan Jörlert Bajcetic,18435,Spanish association football player,human,spanish association football player
289,2023-02,Spain,Valeria_Vegas,Valeria Vegas,18384,Spanish writer and documentarian,human,spanish writer documentarian
290,2023-02,Chile,Myriam_Hernández,Myriam Hernández,18382,Chilean singer-songwriter and television presenter,human,chilean singer songwriter television presenter
292,2023-02,Peru,Cansu_Dere,Cansu Dere,18369,Turkish actor (born 1980),human,turkish actor born 1980
293,2023-02,Colombia,María_Eugenia_Rojas,María Eugenia Rojas Correa,18325,Colombian politician,human,colombian politician
294,2023-02,Spain,Juliette_Binoche,Juliette Binoche,18312,"French actress, artist and dancer (born 1964)",human,french actress artist dancer born 1964
295,2023-02,Spain,Denis_Ménochet,Denis Ménochet,18268,French actor,human,french actor
298,2023-02,Spain,Geraldine_Chaplin,Geraldine Chaplin,18163,British-American actress,human,british american actress
300,2023-02,Spain,Maruja_Torres,Maruja Torres,18107,Spanish writer and journalist (born 1943),human,spanish writer journalist born 1943
306,2023-02,Chile,Eduardo_Alquinta,Eduardo Alquinta,17972,Chilean guitarist,human,chilean guitarist
308,2023-02,Spain,Ramón_Tamames,Ramón Tamames,17904,Spanish economist and politician,human,spanish economist politician
310,2023-02,Chile,Belén_Mora,Belén Mora,17745,Chilean actress and comedian,human,chilean actress comedian
313,2023-02,Spain,Joaquín_(futbolista),Joaquín,17653,Spanish footballer,human,spanish footballer
316,2023-02,Spain,Ramón_Tamames,Ramón Tamames,17606,Spanish economist and politician,human,spanish economist politician
333,2023-02,Spain,Pelé,Pelé,17186,Brazilian footballer (1940–2022),human,brazilian footballer 1940–2022
346,2023-02,Spain,Amancio_Amaro,Amancio Amaro,16757,Spanish footballer (1939–2023),human,spanish footballer 1939–2023
347,2023-02,Colombia,Samuel_Moreno,Samuel Moreno Rojas,16720,Colombian politician (1960–2023),human,colombian politician 1960–2023
351,2023-02,Spain,Ronaldinho,Ronaldinho,16664,Brazilian associaton fooball player (born 1980),human,brazilian associaton fooball player born 1980
355,2023-02,Argentina,Christian_Atsu,Christian Atsu,16574,Ghanaian association football player (1992–2023),human,ghanaian association football player 1992–2023
356,2023-02,Colombia,Daniel_Cataño,Daniel Cataño,16538,Colombian footballer,human,colombian footballer
357,2023-02,Spain,Valeria_Vegas,Valeria Vegas,16458,Spanish writer and documentarian,human,spanish writer documentarian
361,2023-02,Spain,Álvaro_Daniel_Rodríguez_Muñoz,Álvaro Rodríguez,16386,Uruguayan footballer (born 2004),human,uruguayan footballer born 2004
364,2023-02,Chile,Paloma_Mami,Paloma Mami,16301,American singer,human,american singer
371,2023-02,Dominican Republic,Mama_Cax,Mama Cax,15881,American–Haitian model and disability rights activist,human,american–haitian model disability rights activist
376,2023-02,Spain,Pepe_Reina,Pepe Reina,15693,Spanish association football player,human,spanish association football player
383,2023-02,Spain,Luciano_Vietto,Luciano Vietto,15582,Argentine association football player,human,argentine association football player
386,2023-02,Spain,Berta_Vázquez,Berta Vázquez,15487,Ukrainian-Spanish actress and singer,human,ukrainian spanish actress singer
391,2023-02,Spain,Manolo_Vieira,Manolo Vieira,15279,Canarian comedian,human,canarian comedian
395,2023-02,Chile,Claudio_Parra,Claudio Parra,15101,Chilean musician,human,chilean musician
402,2023-03,Mexico,Julieta_Lanteri,Julieta Lanteri,256469,Argentine pharmacologist and suffragist (1873–1932),human,argentine pharmacologist suffragist 1873–1932
404,2023-03,Mexico,Ignacio_López_Tarso,Ignacio López Tarso,211863,Mexican actor and politician (1925–2023),human,mexican actor politician 1925–2023
408,2023-03,Mexico,Lola_Cueto,Lola Cueto,184584,Mexican artist (1897-1978),human,mexican artist 1897 1978
409,2023-03,Mexico,Rebecca_Jones,Rebecca Jones,179081,Mexican actress (1957–2023),human,mexican actress 1957–2023
410,2023-03,Spain,Ramón_Tamames,Ramón Tamames,178448,Spanish economist and politician,human,spanish economist politician
411,2023-03,Mexico,Kitty_O'Neil,Kitty O'Neil,172413,American racing driver and stuntwoman (1946–2018),human,american racing driver stuntwoman 1946–2018
413,2023-03,Mexico,Julieta_Lanteri,Julieta Lanteri,169645,Argentine pharmacologist and suffragist (1873–1932),human,argentine pharmacologist suffragist 1873–1932
416,2023-03,Argentina,Julieta_Lanteri,Julieta Lanteri,156535,Argentine pharmacologist and suffragist (1873–1932),human,argentine pharmacologist suffragist 1873–1932
420,2023-03,Colombia,Julieta_Lanteri,Julieta Lanteri,145528,Argentine pharmacologist and suffragist (1873–1932),human,argentine pharmacologist suffragist 1873–1932
421,2023-03,Mexico,Lola_Cueto,Lola Cueto,144126,Mexican artist (1897-1978),human,mexican artist 1897 1978
425,2023-03,Mexico,Kitty_O'Neil,Kitty O'Neil,125547,American racing driver and stuntwoman (1946–2018),human,american racing driver stuntwoman 1946–2018
427,2023-03,Argentina,José_Mario_Molina_Pasquel_y_Henríquez,Mario Molina,115336,Mexican chemical engineer (1943–2020),human,mexican chemical engineer 1943–2020
428,2023-03,Colombia,José_Mario_Molina_Pasquel_y_Henríquez,Mario Molina,109715,Mexican chemical engineer (1943–2020),human,mexican chemical engineer 1943–2020
430,2023-03,Spain,Ana_Obregón,Ana Obregón,108175,Spanish actress,human,spanish actress
431,2023-03,Spain,Ramón_Tamames,Ramón Tamames,104804,Spanish economist and politician,human,spanish economist politician
433,2023-03,Colombia,Kitty_O'Neil,Kitty O'Neil,101924,American racing driver and stuntwoman (1946–2018),human,american racing driver stuntwoman 1946–2018
434,2023-03,Argentina,María_Onetto,María Onetto,101298,Argentine actress (1966–2023),human,argentine actress 1966–2023
435,2023-03,Peru,Julieta_Lanteri,Julieta Lanteri,97415,Argentine pharmacologist and suffragist (1873–1932),human,argentine pharmacologist suffragist 1873–1932
439,2023-03,Mexico,Rebecca_Jones,Rebecca Jones,85168,Mexican actress (1957–2023),human,mexican actress 1957–2023
441,2023-03,Spain,Laura_Gómez-Lacueva,Laura Gómez-Lacueva,82043,Spanish actress (1975–2023),human,spanish actress 1975–2023
447,2023-03,Chile,Julieta_Lanteri,Julieta Lanteri,73900,Argentine pharmacologist and suffragist (1873–1932),human,argentine pharmacologist suffragist 1873–1932
448,2023-03,Spain,Juan_José_Ballesta,Juan José Ballesta,73241,Spanish actor,human,spanish actor
449,2023-03,Peru,José_Mario_Molina_Pasquel_y_Henríquez,Mario Molina,69871,Mexican chemical engineer (1943–2020),human,mexican chemical engineer 1943–2020
450,2023-03,Mexico,Brendan_Fraser,Brendan Fraser,67647,Canadian-American actor (born 1968),human,canadian american actor born 1968
452,2023-03,Mexico,Ignacio_López_Tarso,Ignacio López Tarso,67515,Mexican actor and politician (1925–2023),human,mexican actor politician 1925–2023
453,2023-03,Colombia,Julieta_Lanteri,Julieta Lanteri,65712,Argentine pharmacologist and suffragist (1873–1932),human,argentine pharmacologist suffragist 1873–1932
454,2023-03,Spain,Georgina_Rodríguez,Georgina Rodríguez,63793,Argentine-Spanish model and businesswoman,human,argentine spanish model businesswoman
456,2023-03,Peru,Tongo,Tongo,62026,Peruvian singer (1957–2023),human,peruvian singer 1957–2023
460,2023-03,Spain,Laura_Valenzuela,Laura Valenzuela,60009,Spanish television presenter (1931–2023),human,spanish television presenter 1931–2023
461,2023-03,Mexico,Irma_Serrano,Maria Quintero,58843,"Mexican singer, actress, politician, theatre entrepreneur and author (1933–2023)",human,mexican singer actress politician theatre entrepreneur author 1933–2023
462,2023-03,Peru,Kitty_O'Neil,Kitty O'Neil,58468,American racing driver and stuntwoman (1946–2018),human,american racing driver stuntwoman 1946–2018
465,2023-03,Spain,Ana_Obregón,Ana Obregón,55362,Spanish actress,human,spanish actress
469,2023-03,Mexico,Benito_Juárez,Benito Juárez,53922,President of Mexico from 1858 to 1872,human,president mexico 1858 1872
470,2023-03,Mexico,Randy_Arozarena,Randy Arozarena,53887,Cuban-Mexican baseball player,human,cuban mexican baseball player
471,2023-03,Spain,Fernando_Alonso,Fernando Alonso,53725,Spanish racing driver,human,spanish racing driver
472,2023-03,Spain,Andrea_Guasch,Andrea Guasch,52808,Spanish actress,human,spanish actress
473,2023-03,Argentina,María_Onetto,María Onetto,52012,Argentine actress (1966–2023),human,argentine actress 1966–2023
474,2023-03,Chile,José_Mario_Molina_Pasquel_y_Henríquez,Mario Molina,51614,Mexican chemical engineer (1943–2020),human,mexican chemical engineer 1943–2020
476,2023-03,Colombia,Kitty_O'Neil,Kitty O'Neil,49839,American racing driver and stuntwoman (1946–2018),human,american racing driver stuntwoman 1946–2018
478,2023-03,Spain,Andrea_Guasch,Andrea Guasch,48986,Spanish actress,human,spanish actress
479,2023-03,Chile,Kitty_O'Neil,Kitty O'Neil,48889,American racing driver and stuntwoman (1946–2018),human,american racing driver stuntwoman 1946–2018
482,2023-03,Peru,Julieta_Lanteri,Julieta Lanteri,46859,Argentine pharmacologist and suffragist (1873–1932),human,argentine pharmacologist suffragist 1873–1932
488,2023-03,Mexico,Irma_Serrano,Maria Quintero,46005,"Mexican singer, actress, politician, theatre entrepreneur and author (1933–2023)",human,mexican singer actress politician theatre entrepreneur author 1933–2023
491,2023-03,Mexico,Jamie_Lee_Curtis,Jamie Lee Curtis,44935,American actress and author,human,american actress author
494,2023-03,Mexico,Benito_Juárez,Benito Juárez,43710,President of Mexico from 1858 to 1872,human,president mexico 1858 1872
495,2023-03,Colombia,José_Mario_Molina_Pasquel_y_Henríquez,Mario Molina,43553,Mexican chemical engineer (1943–2020),human,mexican chemical engineer 1943–2020
503,2023-03,Spain,Laura_Valenzuela,Laura Valenzuela,40797,Spanish television presenter (1931–2023),human,spanish television presenter 1931–2023
504,2023-03,Argentina,Julieta_Lanteri,Julieta Lanteri,40375,Argentine pharmacologist and suffragist (1873–1932),human,argentine pharmacologist suffragist 1873–1932
505,2023-03,Spain,Fernando_Alonso,Fernando Alonso,40214,Spanish racing driver,human,spanish racing driver
506,2023-03,Dominican Republic,Francisco_del_Rosario_Sánchez,Francisco del Rosario Sánchez,39912,Dominican Republic politician (1817-1861),human,dominican republic politician 1817 1861
513,2023-03,Spain,Ramón_Tamames,Ramón Tamames,38300,Spanish economist and politician,human,spanish economist politician
514,2023-03,Argentina,Brendan_Fraser,Brendan Fraser,38277,Canadian-American actor (born 1968),human,canadian american actor born 1968
516,2023-03,Peru,Kitty_O'Neil,Kitty O'Neil,38236,American racing driver and stuntwoman (1946–2018),human,american racing driver stuntwoman 1946–2018
522,2023-03,Spain,Andrea_Guasch,Andrea Guasch,36811,Spanish actress,human,spanish actress
525,2023-03,Spain,Brendan_Fraser,Brendan Fraser,36594,Canadian-American actor (born 1968),human,canadian american actor born 1968
527,2023-03,Chile,Nicolás_Jarry_(tenista),Nicolás Jañññ,35879,Chilean tennis player,human,chilean tennis player
530,2023-03,Mexico,Sergio_Pérez,Sergio Pérez,35543,Mexican racing driver,human,mexican racing driver
534,2023-03,Spain,Pau_Gasol,Pau Gasol,34866,Spanish basketball player,human,spanish basketball player
538,2023-03,Mexico,Guillermo_del_Toro,Guillermo del Toro,34372,Mexican filmmaker and author (born 1964),human,mexican filmmaker author born 1964
539,2023-03,Spain,Jamie_Lee_Curtis,Jamie Lee Curtis,34217,American actress and author,human,american actress author
541,2023-03,Peru,José_Mario_Molina_Pasquel_y_Henríquez,Mario Molina,34164,Mexican chemical engineer (1943–2020),human,mexican chemical engineer 1943–2020
542,2023-03,Mexico,Randy_Arozarena,Randy Arozarena,33913,Cuban-Mexican baseball player,human,cuban mexican baseball player
543,2023-03,Spain,Pedro_Solbes,Pedro Solbes,33464,Spanish politician (1942–2023),human,spanish politician 1942–2023
544,2023-03,Argentina,José_Mario_Molina_Pasquel_y_Henríquez,Mario Molina,33267,Mexican chemical engineer (1943–2020),human,mexican chemical engineer 1943–2020
548,2023-03,Chile,Nicolás_Jarry_(tenista),Nicolás Jañññ,32586,Chilean tennis player,human,chilean tennis player
553,2023-03,Argentina,Jey_Mammón,Jey Mammon,31677,"Argentine comedian, singer, actor and TV host",human,argentine comedian singer actor tv host
555,2023-03,Chile,Eduardo_Ravani,Eduardo Ravani,31468,Chilean journalist (1941–2023),human,chilean journalist 1941–2023
556,2023-03,Argentina,María_Onetto,María Onetto,31345,Argentine actress (1966–2023),human,argentine actress 1966–2023
558,2023-03,Spain,Michelle_Yeoh,Michelle Yeoh,31265,Malaysian actress,human,malaysian actress
561,2023-03,Argentina,María_Onetto,María Onetto,31156,Argentine actress (1966–2023),human,argentine actress 1966–2023
566,2023-03,Spain,Pelayo_Novo,Pelayo Novo García,30530,Spanish footballer (1990–2023),human,spanish footballer 1990–2023
572,2023-03,Spain,Jonathan_Ke_Quan,Ke Huy Quan,29439,American actor and stunt choreographer,human,american actor stunt choreographer
578,2023-03,Spain,Ramón_Tamames,Ramón Tamames,29047,Spanish economist and politician,human,spanish economist politician
594,2023-03,Spain,Lance_Reddick,Lance Reddick,27770,American actor (1962–2023),human,american actor 1962–2023
595,2023-03,Mexico,Michelle_Yeoh,Michelle Yeoh,27744,Malaysian actress,human,malaysian actress
597,2023-03,Mexico,Benito_Juárez,Benito Juárez,27676,President of Mexico from 1858 to 1872,human,president mexico 1858 1872
598,2023-03,Mexico,Jonathan_Ke_Quan,Ke Huy Quan,27555,American actor and stunt choreographer,human,american actor stunt choreographer
599,2023-03,Spain,Juan_Carlos_Unzué,Juan Carlos Unzué,27431,Spanish footballer and manager (born 1967),human,spanish footballer manager born 1967
607,2023-03,Spain,Ana_Obregón,Ana Obregón,27169,Spanish actress,human,spanish actress
614,2023-03,Mexico,Ignacio_López_Tarso,Ignacio López Tarso,26956,Mexican actor and politician (1925–2023),human,mexican actor politician 1925–2023
619,2023-03,Peru,Paolo_Hurtado,Paolo Hurtado,26819,Peruvian footballer,human,peruvian footballer
626,2023-03,Chile,Alipio_Vera,Alipio Vera,26529,Chilean journalist,human,chilean journalist
627,2023-03,Colombia,Brendan_Fraser,Brendan Fraser,26450,Canadian-American actor (born 1968),human,canadian american actor born 1968
630,2023-03,Argentina,Jamie_Lee_Curtis,Jamie Lee Curtis,26092,American actress and author,human,american actress author
636,2023-03,Spain,Georgina_Rodríguez,Georgina Rodríguez,25465,Argentine-Spanish model and businesswoman,human,argentine spanish model businesswoman
637,2023-03,Spain,Kiko_Veneno,Kiko Veneno,25453,Spanish musician,human,spanish musician
642,2023-03,Mexico,Lele_Pons,Lele Pons,24998,Venezuelan-American YouTuber,human,venezuelan american youtuber
646,2023-03,Argentina,Pablo_Javkin,Pablo Javkin,24793,Argentine lawyer and politician,human,argentine lawyer politician
651,2023-03,Mexico,Alejandro_Camacho,Alejandro Camacho,24602,Mexican actor and producer,human,mexican actor producer
654,2023-03,Spain,Blas_Piñar,Blas Piñar,24549,Spanish politician (1918–2014),human,spanish politician 1918–2014
656,2023-03,Spain,Bárbara_Rey,Bárbara Rey,24487,Spanish vedette,human,spanish vedette
657,2023-03,Argentina,Gerardo_Martino,Gerardo Martino,24349,Argentine footballer and manager,human,argentine footballer manager
666,2023-03,Argentina,Jey_Mammón,Jey Mammon,23526,"Argentine comedian, singer, actor and TV host",human,argentine comedian singer actor tv host
669,2023-03,Spain,Miguel_Bosé,Miguel Bosé,23281,"Spanish-Italian musician, singer and actor",human,spanish italian musician singer actor
671,2023-03,Chile,Brendan_Fraser,Brendan Fraser,23049,Canadian-American actor (born 1968),human,canadian american actor born 1968
672,2023-03,Spain,Bojan_Krkić,Bojan Krkić,23020,Spanish footballer (born 1990),human,spanish footballer born 1990
674,2023-03,Mexico,Shohei_Ohtani,Shohei Ohtani,22767,Japanese professional baseball player,human,japanese professional baseball player
676,2023-03,Chile,Jaime_Pizarro,Jaime Pizarro,22682,Chilean footballer,human,chilean footballer
679,2023-03,Mexico,Rebecca_Jones,Rebecca Jones,22613,Mexican actress (1957–2023),human,mexican actress 1957–2023
682,2023-03,Argentina,Blanca_Cotta,Blanca Cotta,22395,"Argentine cook, journalist, cartoonist (1925-2019)",human,argentine cook journalist cartoonist 1925 2019
689,2023-03,Mexico,Ignacio_López_Tarso,Ignacio López Tarso,22118,Mexican actor and politician (1925–2023),human,mexican actor politician 1925–2023
694,2023-03,Chile,Pedro_Pascal,Pedro Pascal,21856,Chilean-American actor (born 1975),human,chilean american actor born 1975
695,2023-03,Spain,Ramón_Tamames,Ramón Tamames,21851,Spanish economist and politician,human,spanish economist politician
696,2023-03,Mexico,Pedro_Pascal,Pedro Pascal,21798,Chilean-American actor (born 1975),human,chilean american actor born 1975
697,2023-03,Mexico,Brendan_Fraser,Brendan Fraser,21768,Canadian-American actor (born 1968),human,canadian american actor born 1968
700,2023-03,Argentina,Jey_Mammón,Jey Mammon,21675,"Argentine comedian, singer, actor and TV host",human,argentine comedian singer actor tv host
704,2023-03,Spain,Georgina_Rodríguez,Georgina Rodríguez,21426,Argentine-Spanish model and businesswoman,human,argentine spanish model businesswoman
705,2023-03,Spain,Lele_Pons,Lele Pons,21382,Venezuelan-American YouTuber,human,venezuelan american youtuber
707,2023-03,Spain,Georgina_Rodríguez,Georgina Rodríguez,21242,Argentine-Spanish model and businesswoman,human,argentine spanish model businesswoman
708,2023-03,Mexico,Lele_Pons,Lele Pons,21201,Venezuelan-American YouTuber,human,venezuelan american youtuber
712,2023-03,Argentina,Natacha_Jaitt,Natacha Jaitt,20951,"Argentine model, actress, screenwriter and radio and television host",human,argentine model actress screenwriter radio television host
714,2023-03,Spain,Laura_Gómez-Lacueva,Laura Gómez-Lacueva,20891,Spanish actress (1975–2023),human,spanish actress 1975–2023
719,2023-03,Spain,Ángela_Rodríguez,Ángela Rodríguez,20725,Politics and feminist from Spain,human,politics feminist spain
724,2023-03,United States,Rebecca_Jones,Rebecca Jones,20574,Mexican actress (1957–2023),human,mexican actress 1957–2023
725,2023-03,Mexico,Rebecca_Jones,Rebecca Jones,20540,Mexican actress (1957–2023),human,mexican actress 1957–2023
727,2023-03,Mexico,Lance_Reddick,Lance Reddick,20498,American actor (1962–2023),human,american actor 1962–2023
732,2023-03,Chile,Jaime_de_Aguirre,Jaime de Aguirre,20289,Chilean musician and businessperson,human,chilean musician businessperson
737,2023-03,Argentina,Jey_Mammón,Jey Mammon,20098,"Argentine comedian, singer, actor and TV host",human,argentine comedian singer actor tv host
741,2023-03,Colombia,Leandro_Díaz,Leandro Díaz Duarte,19992,Colombian musician,human,colombian musician
743,2023-03,Peru,Brendan_Fraser,Brendan Fraser,19973,Canadian-American actor (born 1968),human,canadian american actor born 1968
751,2023-03,Spain,Yolanda_Díaz,Yolanda Díaz,19845,Spanish politician and lawyer (born 1971),human,spanish politician lawyer born 1971
754,2023-03,Mexico,Isabel_II_del_Reino_Unido,Elizabeth II,19721,Queen of the United Kingdom from 1952 to 2022,human,queen united kingdom 1952 2022
756,2023-03,Mexico,Benito_Juárez,Benito Juárez,19549,President of Mexico from 1858 to 1872,human,president mexico 1858 1872
